   Loading spin-up weather data from file ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv ...
   Converting raw data from text file: ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2011, actualYearUsed=1985.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2011, actualYear = 1985, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2012, actualYearUsed=1970.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2012, actualYear = 1970, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2013, actualYearUsed=1974.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2013, actualYear = 1974, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2014, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2014, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2015, actualYearUsed=1989.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2015, actualYear = 1989, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2016, actualYearUsed=1987.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2016, actualYear = 1987, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2017, actualYearUsed=1973.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2017, actualYear = 1973, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2018, actualYearUsed=1983.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2018, actualYear = 1983, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2019, actualYearUsed=1990.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2019, actualYear = 1990, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2020, actualYearUsed=1985.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2020, actualYear = 1985, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2021, actualYearUsed=1978.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2021, actualYear = 1978, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2022, actualYearUsed=1983.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2022, actualYear = 1983, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2023, actualYearUsed=1981.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2023, actualYear = 1981, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2024, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2024, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2025, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2025, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2026, actualYearUsed=1982.
